work_year,experience_level,employment_type,job,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,job_summary
2021,SE,FT,Data Scientist,Marketing Data Analyst,75000,EUR,89402,Greece,100,Greece,L,
2021,SE,FT,Data Scientist,Lead Data Engineer,75000,GBP,103750,United Kingdom,100,United Kingdom,S,
2021,SE,FT,Data Scientist,Director of Data Engineering,82500,GBP,114125,United Kingdom,100,United Kingdom,M,
2021,SE,FT,Data Scientist,Machine Learning Engineer,80000,EUR,95362,Germany,50,Germany,L,
2021,EN,FT,Data Scientist,Data Engineer,2250000,INR,30509,India,100,India,L,
2021,SE,FT,Data Scientist,Data Engineer,150000,USD,150000,United States,100,United States,M,
2021,SE,FT,Data Scientist,Data Engineer,115000,USD,115000,United States,100,United States,S,
2021,MI,FT,Data Scientist,Research Scientist,235000,CAD,187917,Canada,100,Canada,L,
2021,MI,FT,Data Scientist,Data Analyst,37456,GBP,51814,United Kingdom,50,United Kingdom,L,
2020,MI,FT,Data Scientist,Data Engineer,106000,USD,106000,United States,100,United States,L,
2020,MI,FT,Data Scientist,Data Engineer,88000,GBP,112872,United Kingdom,50,United Kingdom,L,
2021,MI,FT,Data Scientist,BI Data Analyst,11000000,HUF,36732,Hungary,50,Hungary,L,
2021,SE,FT,Data Scientist,Data Engineer,150000,USD,150000,United States,100,United States,L,
2020,EN,PT,Data Scientist,ML Engineer,14000,EUR,15966,Germany,100,Germany,S,
2021,MI,FT,,Computer Vision Software Engineer,81000,EUR,96554,Germany,100,Germany,S,
2021,EN,FT,,Computer Vision Software Engineer,70000,USD,70000,United States,100,United States,M,
2021,MI,FT,Data Scientist,Financial Data Analyst,450000,USD,450000,United States,100,United States,L,
2020,MI,FT,Data Scientist,Data Scientist,60000,GBP,76958,United Kingdom,100,United Kingdom,S,
2021,MI,FT,DevOps,Cloud Data Engineer,120000,SGD,89514,Singapore,50,Singapore,L,
2021,EN,FT,Data Scientist,Data Scientist,2200000,INR,29831,India,50,India,L,
2021,SE,FT,Data Scientist,Lead Data Engineer,276000,USD,276000,United States,0,United States,L,
2020,SE,FT,Data Scientist,Data Engineer,188000,USD,188000,United States,100,United States,L,
2021,SE,FT,DevOps,Cloud Data Engineer,160000,USD,160000,Brazil,100,Brazil,S,
2020,MI,FT,Data Scientist,Data Scientist,105000,USD,105000,United States,100,United States,L,
2021,MI,FT,Data Scientist,Data Engineer,200000,USD,200000,United States,100,United States,L,
2021,SE,FT,Data Scientist,Data Engineering Manager,174000,USD,174000,United States,100,United States,L,
2021,MI,FT,Data Scientist,Data Analyst,93000,USD,93000,United States,100,United States,L,
2021,EN,FT,Data Scientist,Data Scientist,2100000,INR,28475,India,100,India,M,
2021,SE,FT,Data Scientist,Research Scientist,51400,EUR,61270,Portugal,50,Portugal,L,
2021,EN,FT,Data Scientist,Data Scientist,90000,USD,90000,United States,100,United States,S,
2020,MI,FT,Data Scientist,Data Engineer,61500,EUR,70139,France,50,France,L,
2020,EN,FT,Data Scientist,Data Analyst,450000,INR,6072,India,0,India,S,
2020,SE,FT,Data Scientist,Data Engineer,720000,MXN,33511,Mexico,0,Mexico,S,
2021,SE,FT,Data Scientist,Principal Data Analyst,170000,USD,170000,United States,100,United States,M,
2021,SE,FT,Data Scientist,Data Engineer,70000,GBP,96833,United Kingdom,50,United Kingdom,L,
2021,MI,FT,Data Scientist,Data Engineer,108000,TRY,13105,Turkey,0,Turkey,M,
2021,EN,FT,Data Scientist,Data Scientist,31000,EUR,36952,France,50,France,L,
2021,MI,FT,Data Scientist,Data Engineer,52500,GBP,72625,United Kingdom,50,United Kingdom,L,
2020,EN,FT,Data Scientist,Data Analyst,91000,USD,91000,United States,100,United States,L,
2021,SE,FT,Data Scientist,Big Data Architect,125000,CAD,99956,Canada,50,Canada,M,
2021,SE,FT,Data Scientist,Data Scientist,165000,USD,165000,United States,100,United States,L,
2021,MI,FT,Data Scientist,Data Analyst,80000,USD,80000,United States,100,United States,L,
2021,SE,FT,Data Scientist,Data Scientist,130000,CAD,103954,Canada,100,Canada,L,
2021,EN,FT,Data Scientist,Data Engineer,1600000,INR,21695,India,50,India,M,
2020,EN,FT,Data Scientist,Research Scientist,42000,USD,42000,Netherlands,50,Netherlands,L,
2020,MI,FT,Data Scientist,Lead Data Scientist,115000,USD,115000,United Arab Emirates,0,United Arab Emirates,L,
2021,MI,FT,Data Scientist,Research Scientist,80000,CAD,63971,Canada,100,Canada,M,
2020,SE,FT,Data Scientist,Machine Learning Scientist,260000,USD,260000,Japan,0,Japan,S,
